seg_id,vertex_seq,lon,lat,traffic_score,ndsi,used_image_date,street_address
0,0,-79.77818569999995,43.70082890000003,0.6626606510997601,,2024-12-01,
1,8,-79.77935579999996,43.67289120000003,0.6875028496814457,,2024-12-01,
1,18,-79.78185199999994,43.67285940000005,0.6909003390002979,,2024-12-01,
6,0,-79.81866359999998,43.68757100000005,0.4874193258757877,,2024-12-01,
7,7,-79.79008759999994,43.68700590000003,0.4542080130282135,,2024-12-01,
9,0,-79.78532029999997,43.67023110000009,0.8309644611903759,,2024-12-01,
11,6,-79.77484369999995,43.66215120000004,0.7512438707230336,,2024-12-01,
11,16,-79.77571589999997,43.66376200000008,0.7784305263976165,,2024-12-01,
12,3,-79.73433539999996,43.67854670000003,0.4389018573575982,-0.296418963370426,2024-12-01,24 Roberts Crescent
12,13,-79.73542939999999,43.67873440000006,0.4421328317344869,-0.22852136575508278,2024-12-01,47 Roberts Crescent
13,4,-79.80570509999994,43.68523490000008,0.5891406775938911,,2024-12-01,
13,14,-79.80486479999995,43.68726880000003,0.578363917172514,,2024-12-01,
15,3,-79.73631059999997,43.67930690000002,0.436992048455203,-0.16173466891534047,2024-12-01,4 Norval Crescent
16,0,-79.78574299999997,43.67510670000007,0.617024036381712,,2024-12-01,
18,4,-79.78414649999996,43.687965400000046,0.5914602421948679,,2024-12-01,
19,5,-79.72265489999995,43.66435260000003,0.5628453732967829,-0.1479881796259783,2024-12-01,40 County Court Boulevard
23,2,-79.72899219999994,43.64968380000004,0.8119827244158873,-0.0992732222191725,2024-12-01,43 Meadowlark Drive
26,1,-79.73901399999994,43.704849300000035,0.5129127041702737,-0.18306702100229993,2024-12-01,Queen Street East
27,9,-79.75489319999996,43.65985080000007,0.4840900772463155,-0.15780525760538477,2024-12-01,3 Cresswell Drive
31,0,-79.72927649999997,43.68911520000006,0.3485816218549762,-0.053053857785326945,2024-12-01,183 Rutherford Road South
34,2,-79.82860849999997,43.67988660000003,0.3754316019302706,,2024-12-01,
34,12,-79.82770499999997,43.68123960000003,0.3735089974546621,,2024-12-01,
34,22,-79.82800539999994,43.68257010000007,0.3907350857289821,,2024-12-01,
35,6,-79.81350109999994,43.68063060000002,0.4184397475582331,,2024-12-01,
36,3,-79.76882699999997,43.67778450000002,0.5975574142483918,,2024-12-01,
38,1,-79.74775409999995,43.699822200000014,0.6920884174603261,-0.21926335639096664,2024-12-01,Hansen Road North
40,6,-79.77278529999994,43.666031900000064,0.7345554858966893,,2024-12-01,
41,3,-79.75387339999997,43.71167520000006,0.4706829485631538,-0.23286758722586848,2024-12-01,350 Archdekin Drive
44,1,-79.81512319999996,43.668985400000054,0.2291211183139892,,2024-12-01,
46,7,-79.78266479999995,43.66179820000007,0.7519695066814895,,2024-12-01,
47,4,-79.72746249999994,43.718038000000035,0.3707003743617378,-0.43017862876652246,2024-12-01,215 Hanover Road
48,5,-79.77117069999997,43.71441580000003,0.6304749382708215,,2024-12-01,
50,4,-79.76759959999998,43.70418010000004,0.5702068180046662,,2024-12-01,
53,1,-79.76435319999996,43.68919370000003,0.5533372092508617,,2024-12-01,
58,0,-79.74933599999997,43.64144100000003,0.5383150406109869,-0.2264885270070239,2024-12-01,Private Road
61,1,-79.75523219999997,43.639838700000034,0.5197685200616086,-0.0906349341992522,2024-12-01,51 Pantomine Boulevard
62,4,-79.758202,43.63887610000007,0.4787960613940538,-0.11907744090781518,2024-12-01,14 Nomad Crescent
64,3,-79.75769499999994,43.641819300000066,0.5448576794645308,0.0003661561628583477,2024-12-01,32 Coin Street
67,4,-79.74315509999995,43.64416990000006,0.4904799824519166,-0.06253203373197694,2024-12-01,128 Yuile Court
68,3,-79.74045819999998,43.64501790000002,0.5879132325897736,-0.22337545964652888,2024-12-01,Hefferon Court
69,8,-79.76160609999992,43.647796200000066,0.5229191526494289,,2024-12-01,
71,0,-79.78584579999995,43.69706390000005,0.5411965439023483,,2024-12-01,
73,5,-79.77894779999995,43.71722660000007,0.6337435299275691,,2024-12-01,
76,0,-79.75753699999996,43.72301040000007,0.5339641387890521,0.20025711391147508,2024-12-01,46 Nuffield Street
79,1,-79.71045019999995,43.70170340000004,0.3587627184912122,-0.20063690285542635,2024-12-01,Dixie Road
82,5,-79.80132169999996,43.68288720000004,0.6180366303698098,,2024-12-01,
83,4,-79.73760279999993,43.66734150000008,0.6834449113764035,0.10779122861880881,2024-12-01,Main Street South
86,3,-79.79018479999995,43.67320900000004,0.685934208853781,,2024-12-01,
87,1,-79.79058469999994,43.69884280000008,0.5216793965954784,,2024-12-01,
90,1,-79.74814429999996,43.65152500000005,0.5734322385279599,-0.17869020104317007,2024-12-01,31 Hedgerow Avenue
94,1,-79.76338669999994,43.71403430000003,0.8167719478685046,,2024-12-01,
97,1,-79.75982959999999,43.721692000000075,0.6121256398681421,,2024-12-01,
97,11,-79.76304509999994,43.72598980000003,0.4233210143627613,,2024-12-01,
99,3,-79.79215609999994,43.72395770000003,0.4359587797015883,,2024-12-01,
102,2,-79.75329339999995,43.701818600000074,0.4229038529306135,-0.2473242778716183,2024-12-01,103 Purvis Place
106,2,-79.78069429999992,43.67779480000007,0.4827005770061933,,2024-12-01,
107,4,-79.79012689999996,43.71030440000004,0.4888074173395775,,2024-12-01,
109,1,-79.76536809999999,43.68400070000006,0.5858921581713369,,2024-12-01,
111,1,-79.79516099999995,43.71425180000006,0.6388181339149374,,2024-12-01,
113,0,-79.78466379999998,43.72684960000003,0.4646390540753804,,2024-12-01,
115,0,-79.77531019999998,43.68847880000004,0.7325261346948853,,2024-12-01,
