seg_id,vertex_seq,lon,lat,traffic_score
11,9,-79.77634899999997,43.66319370000007,0.7851389458267033
11,10,-79.77637509999994,43.663231100000075,0.7864303880835943
11,11,-79.77638299999995,43.66326620000006,0.7872496279993051
11,12,-79.77636249999995,43.663310600000045,0.7875383170574325
11,13,-79.77587339999997,43.66373680000004,0.7818751426285904
11,14,-79.77582849999997,43.66375720000008,0.7810367195354416
11,15,-79.77577399999994,43.66376840000004,0.7798675119832363
11,16,-79.77571589999997,43.66376200000008,0.7784305263976165
11,17,-79.77506689999994,43.66329600000006,0.7597288609693592
11,18,-79.77501469999997,43.66326430000004,0.7584214151156888
11,19,-79.77495649999997,43.66325600000005,0.7572866854895793
11,20,-79.77490329999995,43.66326310000005,0.7564248347731439
11,21,-79.77485249999994,43.663283800000045,0.7557590912206341
11,22,-79.77430779999996,43.66377860000006,0.7509244913741863
12,0,-79.73310169999995,43.67950550000005,0.4396590265395821
12,1,-79.73405509999998,43.678930800000046,0.4311817775499774
12,2,-79.7342402,43.67875730000003,0.4350253837870535
12,3,-79.73433539999996,43.67854670000003,0.4389018573575982
12,4,-79.73434409999997,43.678353300000026,0.5418627921978444
12,5,-79.73419479999995,43.67785640000005,0.5515674394192664
12,6,-79.73421749999994,43.67781160000004,0.5526411304195409
12,7,-79.73426239999998,43.677776100000074,0.5536269729189944
12,8,-79.73497149999997,43.67764440000007,0.5595693896424708
12,9,-79.73509279999996,43.67762770000008,0.560371212039817
12,10,-79.73515759999998,43.67764650000005,0.5602020059149733
12,11,-79.73519479999999,43.67768290000004,0.5595627136936263
12,12,-79.73543199999993,43.67860840000004,0.4441356038965325
12,13,-79.73542939999999,43.67873440000006,0.4421328317344869
12,14,-79.73539819999996,43.678851100000024,0.4401678373759827
12,15,-79.73513259999999,43.679167800000066,0.4340472065135193
12,16,-79.73469639999996,43.67955920000003,0.425982157091386
12,17,-79.73445169999995,43.67972750000007,0.42216764541178403
12,18,-79.73377059999996,43.680111700000054,0.4124942278600865
13,0,-79.80493489999998,43.68568150000005,0.5897646584658208
13,1,-79.80539039999996,43.68526760000003,0.5927875935785435
13,2,-79.80547499999993,43.685223500000056,0.5925544501316086
13,3,-79.80562939999997,43.68521610000005,0.590579013885918
13,4,-79.80570509999994,43.68523490000008,0.5891406775938911
13,5,-79.80584039999995,43.685371400000065,0.584516377127054
13,6,-79.80638959999999,43.68575530000004,0.4953572248270931
13,7,-79.80643689999994,43.68583230000007,0.49300591781831155
13,8,-79.80644029999996,43.68589530000003,0.49174279130908594
13,9,-79.80637259999997,43.68598470000006,0.4912443871236121
13,10,-79.80630429999997,43.68602900000008,0.49158990367512406
13,11,-79.80502349999993,43.68718610000007,0.5791578249450586
13,12,-79.80497189999994,43.68723290000002,0.5785435892200617
13,13,-79.80492179999999,43.68725620000004,0.5783422406284008
13,14,-79.80486479999995,43.68726880000003,0.578363917172514
13,15,-79.80481179999998,43.68727480000006,0.5561440383870071
13,16,-79.80475339999997,43.68725960000006,0.5571155358837019
13,17,-79.80468629999996,43.68721860000005,0.5587660097896804
13,18,-79.80389279999997,43.686638500000065,0.5795755463679358
14,0,-79.72844869999994,43.65831540000005,0.677537688791769
14,1,-79.72817869999994,43.65856320000006,0.6890610975055833
15,0,-79.73704419999996,43.679747200000065,0.4327601751939201
15,1,-79.73683019999999,43.67959630000008,0.4343413960625623
15,2,-79.73638229999995,43.67932570000005,0.43694609248114213
15,3,-79.73631059999997,43.67930690000002,0.436992048455203
15,4,-79.73630869999994,43.67930740000003,0.43697866098109966
15,5,-79.73628699999993,43.679312800000055,0.4368298089629131
15,6,-79.73622409999996,43.67932850000006,0.43639288896866746
15,7,-79.73618849999997,43.67935470000003,0.4358920142207411
15,8,-79.73615789999995,43.679377300000056,0.4354593338864649
15,9,-79.73528429999998,43.68017800000008,0.4206946586205049
15,10,-79.73527559999995,43.68022290000005,0.42006182243504975
15,11,-79.73530459999995,43.68024570000006,0.41990927897275343
15,12,-79.73607059999995,43.68069090000006,0.41772840774654735
16,0,-79.78574299999997,43.67510670000007,0.617024036381712
16,1,-79.78610849999994,43.67510130000005,0.5965739569585002
16,2,-79.78632329999994,43.67519600000002,0.5968470336075553
17,0,-79.75035269999994,43.72243230000003,0.6006052955223221
17,1,-79.75002679999994,43.72296450000004,0.539521837424397
17,2,-79.74938179999998,43.72353370000007,0.5352011277139959
18,0,-79.78556209999994,43.68802540000007,0.5531733246116142
18,1,-79.78522889999994,43.68778330000003,0.5701267346487284
18,2,-79.78517579999992,43.68776020000007,0.5726519200150868
18,3,-79.78510999999997,43.68775500000003,0.5751043845176083
18,4,-79.78414649999996,43.687965400000046,0.5914602421948679
18,5,-79.78408109999997,43.68798250000003,0.5916209752711202
18,6,-79.78408019999993,43.68798270000008,0.5916238732608209
18,7,-79.78403839999997,43.688018200000045,0.5907196492715392
18,8,-79.78388559999996,43.68840380000006,0.5796114407117994
19,0,-79.72403319999995,43.66427800000008,0.48708462414585535
19,1,-79.72387099999996,43.66432120000008,0.49907697671038775
19,2,-79.72359689999996,43.66438120000003,0.5170352295765215
19,3,-79.72322429999997,43.664404000000054,0.537248748734436
19,4,-79.72296409999996,43.66439210000005,0.5495647336456407
19,5,-79.72265489999995,43.66435260000003,0.5628453732967829
20,0,-79.79135969999997,43.72064100000006,0.3715712302001628
20,1,-79.79205229999995,43.721161000000045,0.3959583324067466
21,0,-79.78504159999993,43.71242040000004,0.4159080005028868
21,1,-79.78562509999995,43.713057500000055,0.39442895897309377
22,0,-79.80411409999992,43.685150700000065,0.6095254297709494
22,1,-79.80451789999995,43.68543400000004,0.5996172420406808
22,2,-79.80493489999998,43.68568150000005,0.5897646584658208
23,0,-79.73171999999994,43.649453900000026,0.8040188142891879
23,1,-79.72921589999997,43.649659300000046,0.8136292373105556
23,2,-79.72899219999994,43.64968380000004,0.8119827244158873
24,0,-79.80038729999994,43.718862700000045,0.8316082574777485
24,1,-79.80018609999996,43.71844640000006,0.8219815395878379
24,2,-79.80008909999998,43.718409400000034,0.8195508887396863
24,3,-79.79816009999995,43.71888440000003,0.7679048741493878
25,0,-79.81594659999996,43.676873200000045,0.41105200352994453
25,1,-79.81598559999998,43.67694120000005,0.41005398344058275
25,2,-79.81598309999998,43.67699070000004,0.4096618772178017
25,3,-79.81585929999993,43.67733150000004,0.40807107993896646
26,0,-79.73946459999996,43.704450400000034,0.5254111057336809
26,1,-79.73901399999994,43.704849300000035,0.5129127041702737
27,0,-79.75611009999994,43.65884210000007,0.536552671039818
27,1,-79.75562979999995,43.65894040000006,0.5271286237317954
27,2,-79.75487649999995,43.65904930000005,0.48325714408737364
27,3,-79.75479759999995,43.65907090000007,0.48226313245991104
27,4,-79.75474989999996,43.659097400000064,0.4816517861362427
27,5,-79.75471759999992,43.65915340000004,0.4812225903550552
27,6,-79.75470549999993,43.65921140000006,0.48105287969222243
27,7,-79.75471719999996,43.65926010000004,0.48120067418281814
27,8,-79.75472779999994,43.65930430000004,0.48134094577657804
27,9,-79.75489319999996,43.65985080000007,0.48409007724631553
28,0,-79.70559689999999,43.676619000000066,0.45965085164547836
28,1,-79.70632169999999,43.67822190000004,0.4667126258060485
28,2,-79.70676619999995,43.67921080000007,0.4633861498417271
28,3,-79.70708189999992,43.67988410000004,0.46188955541216487
28,4,-79.70726449999995,43.68026430000003,0.46135839281590213
29,0,-79.82014779999997,43.687973500000055,0.5116164399590674
29,1,-79.82107089999994,43.68811810000006,0.5171643984540988
30,0,-79.75768019999998,43.728693300000025,0.3306973420006372
30,1,-79.75796335591755,43.72890490012444,0.2921291474529033
31,0,-79.72927649999997,43.68911520000006,0.34858162185497626
31,1,-79.73035159999995,43.68991050000006,0.35174231272655254
31,2,-79.73070619999997,43.69015750000005,0.351812216083357
31,3,-79.73096309999994,43.69033150000006,0.3515494031717161
32,0,-79.75258939999996,43.69282950000007,0.5375429221767428
32,1,-79.75161159999999,43.69371480000006,0.5653506112987945
33,0,-79.76401439999995,43.72655620000006,0.4237601104641354
33,1,-79.76389309999995,43.72665380000007,0.4224800624280157
34,0,-79.82891615429799,43.679985518888046,0.3799070525042376
34,1,-79.82873209999995,43.679921500000034,0.37721067451761414
34,2,-79.82860849999997,43.67988660000003,0.3754316019302706
34,3,-79.82848059999998,43.67984180000007,0.3735192896197631
34,4,-79.82842089999997,43.67983470000007,0.37270486970853695
34,5,-79.82838029999994,43.67984620000003,0.3722475112383468
34,6,-79.82832859999996,43.679887000000065,0.3718221590160039
34,7,-79.82828699999997,43.67994850000007,0.3716578823122406
34,8,-79.82796719999997,43.680461200000025,0.37083005221711846
34,9,-79.82787649999995,43.68066010000007,0.3710748223025052
34,10,-79.82779949999995,43.680845100000056,0.37147092944898685
34,11,-79.82774479999995,43.68104230000006,0.3723475082998699
34,12,-79.82770499999997,43.68123960000003,0.37350899745466215
34,13,-79.82769159999997,43.68139040000006,0.37468316095729015
34,14,-79.82769889999997,43.68155240000005,0.3762895556768885
34,15,-79.82770579999999,43.68173820000004,0.3781643674852769
34,16,-79.82771989999998,43.68186110000004,0.37956410450055394
34,17,-79.82774779999994,43.68196350000005,0.3809660215149608
34,18,-79.82779159999994,43.68209760000008,0.3829187797409743
34,19,-79.82783399999992,43.68222620000006,0.3848151133153226
34,20,-79.82787829999995,43.682336400000054,0.3865601450708449
34,21,-79.82792129999996,43.68243460000007,0.38817149954507785
34,22,-79.82800539999994,43.68257010000007,0.3907350857289821
34,23,-79.82813819999994,43.68277340000003,0.3946895116881061
34,24,-79.82824119999997,43.68282680000003,0.3966153735417777
34,25,-79.82831679999997,43.68283710000003,0.39770525197182094
35,0,-79.81317219999994,43.68024200000008,0.3769730811193903
35,1,-79.81348349999996,43.680421300000035,0.4200063614953843
35,2,-79.81352299999998,43.68046140000006,0.41884133866400364
35,3,-79.81354679999998,43.68050960000005,0.417997605218017
35,4,-79.81354499999996,43.68054930000005,0.41781659847965164
35,5,-79.81353279999995,43.68059190000008,0.4178762686745915
35,6,-79.81350109999994,43.68063060000002,0.4184397475582331
35,7,-79.81317219999994,43.68092160000003,0.42527783195605734
35,8,-79.81207099999995,43.68192480000005,0.49881072694915846
35,9,-79.81198629999993,43.68197340000007,0.5010295911220604
35,10,-79.81188929999996,43.68197690000005,0.5036430886599728
35,11,-79.81182139999999,43.68195820000006,0.5054909990626122
35,12,-79.81122249999997,43.68151650000003,0.5217449954188367
36,0,-79.77065039999995,43.67609790000006,0.7475636107107242
36,1,-79.76979599999997,43.67688590000006,0.7506772653153644
36,2,-79.76961629999994,43.67705250000006,0.7362652864873851
36,3,-79.76882699999997,43.67778450000002,0.5975574142483918
37,0,-79.78119829999996,43.66841800000004,0.8477463128734558
37,1,-79.78180199999997,43.66842890000003,0.8493861447294966
37,2,-79.78204679999999,43.66840000000008,0.851269778479913
37,3,-79.78221969999997,43.668361300000065,0.8530862772974057
37,4,-79.78239269999993,43.668354200000074,0.8548077471230769
37,5,-79.78259329999997,43.668365300000055,0.8570731429406659
37,6,-79.78280769999998,43.66842160000004,0.8598471839726455
37,7,-79.78309379999996,43.66860920000004,0.8642409195567283
38,0,-79.74584649999997,43.69886490000004,0.8676266014092052
38,1,-79.74775409999995,43.699822200000014,0.6920884174603261
39,0,-79.72263539999994,43.70846240000003,0.44230001440542316
39,1,-79.72256489999995,43.70853720000007,0.4409812842186006
39,2,-79.72231799999997,43.70873860000007,0.43694939595211313
40,0,-79.77440169999993,43.66514590000003,0.7581420502266631
40,1,-79.77383619999995,43.665185200000046,0.7487713622884218
40,2,-79.77378259999995,43.66519340000007,0.7479619627138414
40,3,-79.77372989999998,43.66521630000005,0.7471880177288381
40,4,-79.77368219999993,43.665253000000064,0.7465048774094253
40,5,-79.77293309999997,43.66591850000003,0.7363815815271868
40,6,-79.77278529999994,43.666031900000064,0.7345554858966893
40,7,-79.77276349999994,43.66609110000007,0.7342178624164409
40,8,-79.77277089999994,43.66614120000003,0.7342043651957214
40,9,-79.77281029999995,43.66619710000003,0.7345167835389429
40,10,-79.77284859999996,43.66624060000004,0.7348381797578846
40,11,-79.77295819999995,43.66633330000008,0.7358234587085015
40,12,-79.77346639999998,43.66663780000005,0.7408320909965413
41,0,-79.75257039999995,43.71102620000004,0.41872721876678076
41,1,-79.75316489999994,43.71127580000006,0.4377188993240345
41,2,-79.75325979999995,43.711329300000045,0.44171257391061275
41,3,-79.75387339999997,43.71167520000006,0.47068294856315385
42,0,-79.75441319999999,43.70696750000008,0.381004536588206
42,1,-79.75605519999992,43.70761570000008,0.37392871607060524
42,2,-79.75639409999995,43.70780840000003,0.4122392673810405
42,3,-79.75666389999996,43.70812620000004,0.3835336122859134
42,4,-79.75667579999997,43.70814020000007,0.38181008945734396
42,5,-79.75731469999994,43.70924560000003,0.39904848100041823
43,0,-79.81512319999996,43.668985400000054,0.22912111831398924
43,1,-79.81446569999997,43.66958080000006,0.22645357601758667
44,0,-79.81576259999997,43.668400400000046,0.23195028947181318
44,1,-79.81512319999996,43.668985400000054,0.22912111831398924
45,0,-79.80993119999992,43.66876440000004,0.35987657233843223
45,1,-79.80921289999998,43.66927050000003,0.3606126220532546
46,0,-79.78132379999994,43.66063280000004,0.6866897082050822
46,1,-79.78175039999996,43.66093450000005,0.7379463401262016
46,2,-79.78213859999993,43.661224700000055,0.7426664037958083
46,3,-79.78225879999997,43.661335700000045,0.7444975949364981
46,4,-79.78239439999999,43.661497200000035,0.7473977191823237
46,5,-79.78257099999996,43.66173560000003,0.7515708964917063
46,6,-79.78261159999992,43.661770100000055,0.7519413250001354
46,7,-79.78266479999995,43.66179820000007,0.7519695066814895
46,8,-79.78272139999994,43.66180840000004,0.7514881560655307
46,9,-79.78278179999995,43.66180560000004,0.7506292208517779
46,10,-79.78283789999993,43.66179140000002,0.7495471269814472
46,11,-79.78290719999995,43.66176350000006,0.7479669049062517
46,12,-79.78323309999995,43.661646200000064,0.7411001495811051
47,0,-79.72821859999993,43.717947400000064,0.3713534684721072
47,1,-79.72798459999996,43.71794020000004,0.37144585019121323
47,2,-79.72797819999992,43.71794020000004,0.37144712204105895
47,3,-79.72773709999996,43.71796900000003,0.3712527802952771
47,4,-79.72746249999994,43.718038000000035,0.37070037436173786
47,5,-79.72720729999999,43.71816780000006,0.4465390258778666
47,6,-79.72708999999996,43.718227400000046,0.4455932776251287
47,7,-79.72686009999994,43.71845900000005,0.4420625428147843
47,8,-79.72637804067244,43.71902183374379,0.432385798065686
48,0,-79.77147339999992,43.71398760000005,0.627164550553523
48,1,-79.77147029999998,43.71406510000003,0.6270367262241732
48,2,-79.77144469999996,43.71411030000007,0.6273009662738884
48,3,-79.77137019999996,43.71418700000004,0.628189515948971
48,4,-79.77125119999992,43.71431250000006,0.6295883889929403
48,5,-79.77117069999997,43.71441580000003,0.6304749382708215
48,6,-79.77109729999995,43.71452000000005,0.6312435935972136
48,7,-79.77103599999998,43.714617900000064,0.6318430738918137
49,0,-79.74475629999993,43.66141010000007,0.4193103433635603
49,1,-79.74589879999996,43.66193590000005,0.3982621534916181
49,2,-79.74633989999995,43.66219280000007,0.3904033851210078
50,0,-79.76838569999995,43.70336880000007,0.5065100876872356
50,1,-79.76761449999997,43.70409880000005,0.5653946352761278
50,2,-79.76759879999996,43.70413870000005,0.5678920246357082
50,3,-79.76759159999995,43.70415710000004,0.5690381007160316
50,4,-79.76759959999998,43.70418010000004,0.5702068180046662
50,5,-79.76761209999995,43.70421590000007,0.572027442111735
50,6,-79.76764109999992,43.704241800000034,0.5730504165173486
50,7,-79.76767839999997,43.704275100000075,0.5743775544588965
50,8,-79.76830959999995,43.70462410000004,0.585721841319269
51,0,-79.78112429999999,43.702325900000055,0.704669815311943
51,1,-79.78063629999997,43.702676300000064,0.7049626350728762
52,0,-79.77616199999994,43.69036970000007,0.8119685782364795
52,1,-79.77560639999994,43.690994000000046,0.8175215083060537
53,0,-79.76507979999995,43.68866580000009,0.5743994593705419
53,1,-79.76435319999996,43.68919370000003,0.5533372092508617
54,0,-79.78014409999997,43.702315400000025,0.6743389654507078
54,1,-79.78063629999997,43.702676300000064,0.7049626350728762
55,0,-79.72988149999998,43.71947850000004,0.35387241617542126
55,1,-79.72931869999996,43.719895400000034,0.34966174320304017
56,0,-79.73297415598734,43.64537983612124,0.755917163057578
56,1,-79.73366959999998,43.64601260000006,0.7325105184155216
56,2,-79.73400769999994,43.646295500000065,0.7169450365707439
57,0,-79.74023459999994,43.67798160000006,0.512637866372939
57,1,-79.73963149999996,43.67856930000005,0.5127924862394795
58,0,-79.74933599999997,43.64144100000003,0.5383150406109869
58,1,-79.74923879999993,43.64169730000003,0.5366212223269522
59,0,-79.74914328055384,43.64016957650679,0.5387948014682141
59,1,-79.74914629999995,43.64024220000004,0.5386392979725037
60,0,-79.75337151218726,43.639403101225945,0.5612713432654087
60,1,-79.75203899999995,43.64058720000003,0.5056680802149027
60,2,-79.75202329999995,43.64063660000005,0.5058070493705132
60,3,-79.75206039999995,43.640713500000054,0.5613776539869622
60,4,-79.75263279999994,43.64106190000006,0.5678831385488523
61,0,-79.75571229999996,43.63959180000006,0.5190581963008931
61,1,-79.75523219999997,43.639838700000034,0.5197685200616086
61,2,-79.75502269999997,43.64000300000003,0.5204300147000874
